"COTS Surveillance Id","Tow time","Vessel","Voyage","Reef label","Reef name","Start lat","Start long","End lat","End long","Distance (m)","Average speed (km/h)","COTS observed","Feeding scars","Hard coral","Soft coral","Dead coral","Created on","Created by","Updated on","Updated by"
104426,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-14.9638215,145.7028551,-14.9651679,145.7032725,185.5,5.62,0,"a","2+","0","0",18/07/2022,"DATA_MIGRATION",,
104531,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-14.9652064,145.7029308,-14.9665337,145.7029192,178.7,5.4,0,"a","3-","1-","0",18/07/2022,"DATA_MIGRATION",,
103002,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-14.9666141,145.7028206,-14.9679106,145.7027672,169,5.11,0,"a","2+","1-","0",07/07/2022,"TAYLORS",,
104561,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-14.9679989,145.702851,-14.9692677,145.7028152,174.6,5.29,0,"a","3-","0","0",18/07/2022,"DATA_MIGRATION",,
103003,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-14.9695395,145.7027995,-14.9705562,145.7035651,156.1,4.72,0,"a","2+","0","0",07/07/2022,"TAYLORS",,
103070,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-14.9888531,145.7101948,-14.9879375,145.7089245,188.6,5.72,0,"a","2-","1-","0",07/07/2022,"TAYLORS",,
103004,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-14.9707825,145.7034627,-14.9722947,145.7037696,185.7,5.65,0,"a","2+","1-","0",07/07/2022,"TAYLORS",,
103071,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-14.9876489,145.7089051,-14.985997999999999,145.7089552,210.9,6.37,0,"a","2-","1-","0",07/07/2022,"TAYLORS",,
104508,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-14.9859533,145.7089862,-14.9846503,145.7092885,179.6,5.44,0,"a","2-","1-","0",18/07/2022,"DATA_MIGRATION",,
104230,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-14.9722122,145.7039169,-14.9735143,145.7046201,196.2,5.9,0,"a","2-","0","0",18/07/2022,"DATA_MIGRATION",,
103005,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-14.973702,145.7045047,-14.9748462,145.7045466,159.3,4.82,0,"a","2-","1-","0",07/07/2022,"TAYLORS",,
103072,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-14.9842913,145.7090944,-14.9825073,145.7082662,281.3,8.5,0,"a","2-","1-","0",07/07/2022,"TAYLORS",,
103073,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-14.9825939,145.7081965,-14.9812312,145.7077221,173,5.22,0,"a","1+","1-","0",07/07/2022,"TAYLORS",,
104319,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-14.9749593,145.7046156,-14.9760873,145.7048786,164,4.93,0,"a","2-","0","0",18/07/2022,"DATA_MIGRATION",,
103006,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-14.9760708,145.7050373,-14.977158999999999,145.7057102,180.5,5.44,0,"a","1+","1-","0",07/07/2022,"TAYLORS",,
103074,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-14.9809842,145.7075056,-14.9800785,145.7069063,182.2,5.51,0,"a","2-","2-","0",07/07/2022,"TAYLORS",,
103007,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-14.9772941,145.7056899,-14.9782587,145.7063609,143.3,4.36,0,"a","1+","0","0",07/07/2022,"TAYLORS",,
104231,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-14.9784484,145.7063596,-14.9794368,145.7067662,163.5,4.93,0,"a","1+","0","0",18/07/2022,"DATA_MIGRATION",,
103008,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017a","U/N Reef (15-017a)",-15.0286894,145.6890369,-15.0292212,145.6878013,150.3,4.57,0,"a","3+","1+","1-",07/07/2022,"TAYLORS",,
104376,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017c","U/N Reef (15-017c)",-15.0292474,145.6876391,-15.0299426,145.6862615,176.7,5.33,0,"a","3+","2-","1-",18/07/2022,"DATA_MIGRATION",,
103009,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017c","U/N Reef (15-017c)",-15.0299716,145.6861691,-15.0310007,145.6849934,181,5.47,0,"a","3-","1-","0",07/07/2022,"TAYLORS",,
103010,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017c","U/N Reef (15-017c)",-15.0310336,145.6848572,-15.0320513,145.6836733,180.8,5.44,0,"a","2+","1-","1-",07/07/2022,"TAYLORS",,
104474,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017c","U/N Reef (15-017c)",-15.0321781,145.6835778,-15.0335271,145.6825867,190.2,5.72,0,"a","3-","1-","1-",18/07/2022,"DATA_MIGRATION",,
104377,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017c","U/N Reef (15-017c)",-15.0335699,145.6824889,-15.0348556,145.6825076,188.3,5.69,0,"a","3-","1-","0",18/07/2022,"DATA_MIGRATION",,
103011,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017c","U/N Reef (15-017c)",-15.0349065,145.6826255,-15.0346707,145.6843287,193.2,5.87,0,"a","2+","1-","0",07/07/2022,"TAYLORS",,
103012,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017a","U/N Reef (15-017a)",-15.0345893,145.6844202,-15.0347968,145.6861207,196.9,5.94,0,"a","2+","1-","0",07/07/2022,"TAYLORS",,
103013,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017a","U/N Reef (15-017a)",-15.0345744,145.686257,-15.0342077,145.6878013,185.4,5.58,0,"a","2-","1-","1-",07/07/2022,"TAYLORS",,
104475,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017a","U/N Reef (15-017a)",-15.034172,145.6879634,-15.0340324,145.6895271,181.9,5.51,0,"a","2-","1-","0",18/07/2022,"DATA_MIGRATION",,
103014,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017a","U/N Reef (15-017a)",-15.0339953,145.6896272,-15.0336671,145.6913184,197.4,5.98,0,"a","2+","1-","1-",07/07/2022,"TAYLORS",,
103015,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017a","U/N Reef (15-017a)",-15.0335519,145.6914266,-15.0329714,145.6930744,205,6.19,0,"a","2+","1-","1-",07/07/2022,"TAYLORS",,
103016,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017a","U/N Reef (15-017a)",-15.0328437,145.6931841,-15.032528,145.6948973,201.9,6.12,0,"a","2+","1-","1-",07/07/2022,"TAYLORS",,
104378,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017a","U/N Reef (15-017a)",-15.0324912,145.6949851,-15.0328054,145.6965924,198.1,5.98,0,"p","2+","1-","1-",18/07/2022,"DATA_MIGRATION",,
104454,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017a","U/N Reef (15-017a)",-15.0328062,145.6967206,-15.0336638,145.6980951,184.8,5.58,0,"a","2-","1-","1-",18/07/2022,"DATA_MIGRATION",,
104581,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017a","U/N Reef (15-017a)",-15.0337527,145.6981445,-15.0348622,145.6992395,177.1,5.36,0,"a","2+","1-","1-",18/07/2022,"DATA_MIGRATION",,
